Order_ID,Buyer_ID,Supplier_ID,Product_Category,Quantity_Ordered,Shipping_Mode,Order_Value_USD,Delay_Days,Disruption_Type,Disruption_Severity,Historical_Disruption_Count,Supplier_Reliability_Score,Organization_ID,Dominant_Buyer_Flag,Available_Historical_Records,Data_Sharing_Consent,Federated_Round,Parameter_Change_Magnitude,Communication_Cost_MB,Energy_Consumption_Joules,Supply_Risk_Flag,processing_time_days,transit_time_days,total_lead_time,resilience_score,resilience_label,risk_score
21,24,29,2,778,2,33097.76,0.0,1,0.0,6,0.51,2,0,579,1,3,0.2666,1.74,496.35,0,3,6.0,9,54.804,Medium,11.149000000000001
22,45,13,4,823,3,38422.74,2.0,4,0.0,16,0.91,5,1,102,1,1,0.022,0.99,67.38,1,3,6.0,9,44.763999999999996,Medium,13.909
23,35,3,0,622,0,42373.11,7.0,0,0.0,3,0.91,2,0,201,1,2,0.3974,3.47,107.72,1,1,10.0,11,53.464,Medium,13.309000000000001
24,15,13,0,414,1,30873.4,1.0,3,0.0,12,0.89,7,0,112,1,2,0.0158,1.94,151.09,1,4,9.0,13,48.956,Medium,12.711000000000002
25,46,27,1,355,0,4885.93,3.0,3,0.0,3,0.64,18,0,405,1,4,0.1536,3.95,415.0,1,3,4.0,7,55.756,Medium,11.736
26,30,15,1,631,2,24637.58,3.0,3,0.0,4,0.92,19,0,16,1,6,0.0129,1.43,445.33,1,4,4.0,8,54.967999999999996,Medium,11.908000000000001
27,15,1,3,429,2,4343.64,0.0,1,0.0,3,0.77,9,0,649,1,4,0.1943,4.55,82.15,0,2,7.0,9,57.608000000000004,Medium,10.523000000000001
28,5,27,4,191,0,20673.38,2.0,3,0.0,17,0.69,19,0,576,1,9,0.0409,2.85,64.61,1,4,6.0,10,43.775999999999996,Medium,14.131
29,32,7,4,992,0,20651.77,7.0,2,0.0,5,0.81,7,0,240,1,4,0.4576,1.02,385.05,1,3,9.0,12,51.624,Medium,13.719000000000001
30,27,22,1,834,1,3767.49,7.0,3,0.0,1,0.51,2,1,883,1,6,0.2137,2.3,110.01,1,2,11.0,13,55.104,Medium,12.949
31,28,7,4,10,1,17766.62,1.0,0,0.0,10,0.57,13,1,583,1,6,0.2352,1.43,109.85,1,3,4.0,7,50.628,Medium,12.343000000000002
32,11,2,4,840,0,5994.41,2.0,0,0.0,13,0.87,12,0,249,1,10,0.1814,1.4,60.06,1,4,4.0,8,47.44799999999999,Medium,13.313
33,33,11,0,959,0,40507.64,0.0,1,0.0,4,0.62,11,1,99,1,10,0.3175,2.78,72.41,0,4,5.0,9,56.647999999999996,Medium,10.738000000000001
34,35,12,1,576,0,47410.56,0.0,1,0.0,5,0.8,15,0,241,1,1,0.3944,3.52,168.65,0,4,2.0,6,55.82,Medium,10.920000000000002
35,25,7,2,380,0,4079.67,0.0,1,0.0,9,0.69,10,0,466,1,8,0.3276,4.6,79.25,0,4,5.0,9,52.176,Medium,11.731000000000002
36,33,8,1,945,3,47778.2,1.0,0,0.0,7,0.93,1,0,242,1,3,0.3766,2.76,216.0,1,4,7.0,11,53.471999999999994,Medium,11.707
37,30,26,2,920,0,26367.54,1.0,0,0.0,13,0.98,10,0,363,1,6,0.4539,4.85,424.75,1,1,5.0,6,48.092,Medium,12.902000000000001
38,4,3,0,670,1,15328.5,0.0,1,0.0,2,0.94,2,0,342,1,3,0.4331,4.74,196.84,0,1,1.0,2,58.576,Medium,10.306000000000001
39,2,19,3,440,2,4304.67,1.0,3,0.0,11,0.64,12,1,448,1,2,0.3403,4.39,377.53,1,4,10.0,14,49.756,Medium,12.536
40,28,5,4,978,3,25280.9,7.5,4,0.0,15,0.6,9,0,384,1,5,0.1152,2.75,92.26,1,4,16.5,21,40.739999999999995,Medium,16.590875
41,33,27,0,318,0,39828.52,3.0,2,0.0,16,0.74,0,1,301,1,1,0.3225,1.13,346.72,1,4,5.0,9,44.096,Medium,14.326000000000002
42,39,12,4,146,2,35500.78,0.0,1,0.0,0,0.5,4,0,354,1,9,0.258,1.48,192.54,0,1,8.0,9,60.2,Medium,9.950000000000001
43,47,25,3,211,3,2986.19,2.0,2,0.0,9,0.51,14,1,673,1,7,0.3614,3.41,387.39,1,3,6.0,9,50.903999999999996,Medium,12.549
44,18,0,3,445,2,4108.64,0.0,1,0.0,9,0.78,8,0,437,1,3,0.4181,2.4,111.31,0,3,8.0,11,52.212,Medium,11.722000000000001
45,21,7,0,322,0,20442.23,2.0,4,0.0,1,0.76,13,0,666,1,4,0.3739,1.16,454.05,1,4,8.0,12,58.20399999999999,Medium,10.924
46,13,0,3,126,0,15116.88,0.0,1,0.0,8,1.0,16,0,139,1,6,0.4248,2.66,159.16,0,2,4.0,6,53.2,Medium,11.5
47,42,6,2,675,1,12003.02,3.0,3,0.0,12,0.6,18,0,150,1,3,0.0413,0.58,208.91,1,4,11.0,15,47.64,Medium,13.540000000000003
48,33,9,3,946,0,14409.72,1.0,2,0.0,15,0.63,8,0,424,1,7,0.0255,3.8,477.58,1,4,5.0,9,46.152,Medium,13.337000000000002
49,21,22,4,812,0,40272.4,3.0,3,0.0,17,0.56,8,1,102,1,6,0.1367,0.83,310.32,1,4,8.0,12,43.123999999999995,Medium,14.544
50,43,11,4,584,3,46496.79,0.0,1,0.0,18,0.96,1,0,635,1,9,0.4513,3.33,214.6,0,2,7.0,9,44.184,Medium,13.504000000000001
51,14,27,4,253,1,20552.58,0.0,1,0.0,11,0.89,1,1,293,1,5,0.4136,4.07,477.32,0,2,2.0,4,50.456,Medium,12.111
52,22,29,4,546,3,45352.49,3.0,2,0.0,7,0.91,3,0,965,1,4,0.3445,1.1,198.08,1,2,10.0,12,52.263999999999996,Medium,12.509
53,27,24,2,611,2,16414.04,1.0,3,0.0,16,0.95,13,1,932,1,3,0.3534,2.83,92.69,1,3,3.0,6,45.379999999999995,Medium,13.505
54,12,8,1,84,0,24083.63,1.0,2,0.0,14,0.76,15,0,664,1,10,0.3661,4.01,498.58,1,4,2.0,6,47.104,Medium,13.123999999999999
55,22,23,0,815,2,11688.44,7.5,4,0.0,9,0.73,13,0,232,1,1,0.4719,1.67,170.53,1,1,16.5,19,46.192,Medium,15.727
56,13,13,4,395,3,32203.56,7.5,4,0.0,14,0.67,5,1,753,1,3,0.4178,1.23,433.07,1,3,16.5,21,41.668,Medium,16.590875
57,34,25,3,912,0,48959.57,5.0,4,0.0,14,0.79,0,0,472,1,3,0.3155,2.02,124.49,1,4,9.0,13,44.715999999999994,Medium,14.721
58,17,0,4,219,0,30372.91,1.0,2,0.0,6,0.73,16,0,554,1,7,0.3362,3.0,379.11,1,4,7.0,11,54.292,Medium,11.527
59,16,21,3,484,3,18211.8,3.0,2,0.0,12,0.73,9,0,285,1,7,0.1147,3.09,286.0,1,1,5.0,6,47.692,Medium,13.527000000000001
60,8,4,3,427,3,32566.96,3.0,4,0.0,16,0.97,17,0,691,1,1,0.3321,1.09,491.41,1,1,11.0,12,44.188,Medium,14.303
61,46,28,4,356,3,6584.57,2.0,2,0.0,8,0.99,1,0,149,1,3,0.2181,2.56,298.77,1,3,7.0,10,51.995999999999995,Medium,12.301000000000002
62,3,28,2,538,3,44488.62,0.0,1,0.0,7,0.9,1,1,366,1,8,0.085,1.71,61.26,0,4,5.0,9,54.06,Medium,11.31
63,43,11,3,649,3,25402.66,1.0,4,0.0,19,0.88,10,0,722,1,9,0.4051,4.29,321.75,1,2,10.0,12,42.652,Medium,14.112000000000002
64,44,25,3,948,0,22742.81,5.0,2,0.0,17,0.84,2,0,32,1,7,0.26,1.91,115.39,1,1,6.0,7,42.036,Medium,15.316
65,24,24,4,964,3,29500.31,2.0,3,0.0,12,0.58,2,0,977,1,7,0.4889,4.27,409.34,1,2,6.0,8,48.232,Medium,13.142
66,16,4,3,885,0,31426.8,2.0,3,0.0,15,0.53,5,0,745,1,8,0.148,2.43,435.46,1,2,9.0,11,45.512,Medium,13.747
67,26,3,3,772,0,4052.9,0.0,1,0.0,8,0.85,13,0,889,1,6,0.2455,3.77,266.94,0,4,2.0,6,53.14,Medium,11.515
68,17,21,4,188,3,34289.55,2.0,0,0.0,11,0.86,13,1,279,1,3,0.2295,2.8,402.45,1,3,5.0,8,49.244,Medium,12.914000000000001
69,38,18,4,191,3,12475.62,0.0,1,0.0,11,0.52,8,0,868,1,1,0.0692,3.3,115.3,0,1,3.0,4,50.30799999999999,Medium,12.148
70,6,3,0,673,1,35840.66,5.0,2,0.0,5,0.96,3,1,674,1,7,0.2188,2.28,271.44,1,4,12.0,16,52.884,Medium,12.904000000000002
71,28,15,2,34,0,41215.47,7.5,4,0.0,18,0.55,12,0,342,1,1,0.1509,3.96,227.27,1,3,16.5,20,38.019999999999996,Low,16.590875
72,3,1,2,976,3,40295.95,2.0,0,0.0,6,0.64,6,0,94,1,1,0.0886,2.41,325.09,1,4,7.0,11,53.65599999999999,Medium,11.936
73,36,19,3,189,3,27848.8,5.0,0,0.0,2,0.84,1,0,630,1,9,0.1483,2.56,70.01,1,4,10.0,14,55.536,Medium,12.316
74,44,11,2,719,3,26248.41,7.5,0,0.0,15,0.58,10,0,40,1,10,0.1243,2.83,388.46,1,2,15.0,17,40.732,Medium,16.590875
75,45,20,3,510,1,7572.36,3.0,4,0.0,17,0.53,10,0,750,1,7,0.3697,4.24,85.61,1,3,9.0,12,43.111999999999995,Medium,14.547
76,8,9,0,865,1,38879.63,7.5,2,0.0,15,0.67,15,0,249,1,4,0.0251,3.47,345.41,1,2,11.0,13,40.768,Medium,16.590875
77,3,5,4,170,2,13934.76,1.0,4,0.0,6,0.88,14,1,899,1,6,0.3126,2.07,58.31,1,4,3.0,7,54.352,Medium,11.512
78,40,16,4,186,0,25086.42,0.0,1,0.0,3,0.71,10,0,372,1,1,0.3827,3.52,424.35,0,4,7.0,11,57.584,Medium,10.529000000000002
79,40,5,4,294,2,14571.57,0.0,1,0.0,7,0.83,6,1,831,1,7,0.2456,3.39,128.61,0,1,5.0,6,54.032,Medium,11.317000000000002
80,14,5,2,72,3,7124.5,1.0,0,0.0,12,0.79,12,0,398,1,6,0.4665,4.69,281.97,1,4,7.0,11,48.916,Medium,12.721
81,3,28,0,671,1,31663.11,0.0,1,0.0,12,0.51,15,1,662,1,4,0.3569,4.29,167.67,0,1,4.0,5,49.403999999999996,Medium,12.349
82,39,6,2,675,1,3189.44,3.0,4,0.0,16,0.99,8,1,677,1,7,0.3765,3.41,375.19,1,4,11.0,15,44.196,Medium,14.301000000000002
83,34,1,2,165,2,37557.94,0.0,1,0.0,16,0.52,11,0,308,1,3,0.1065,2.04,194.61,0,4,6.0,10,45.808,Medium,13.148
84,4,11,0,891,1,16220.55,2.0,3,0.0,4,0.98,8,1,866,1,1,0.3909,4.01,376.07,1,2,5.0,7,55.592,Medium,11.502
85,46,11,0,478,3,506.67,0.0,1,0.0,5,0.77,7,0,380,1,4,0.4177,3.09,178.19,0,4,4.0,8,55.808,Medium,10.923000000000002
86,36,27,0,58,1,25800.89,1.0,0,0.0,18,0.98,18,1,108,1,3,0.187,4.93,388.61,1,1,3.0,4,43.592,Medium,13.902000000000001
87,16,5,0,976,2,2819.17,0.0,1,0.0,12,0.56,1,0,56,1,1,0.1145,1.61,63.77,0,1,1.0,2,49.424,Medium,12.344000000000001
88,14,25,4,858,3,14170.39,5.0,0,0.0,13,0.75,1,0,848,1,2,0.1987,0.86,177.49,1,4,10.0,14,45.6,Medium,14.525
89,0,21,1,93,2,35495.34,0.0,1,0.0,3,0.58,13,1,431,1,5,0.3724,0.81,274.39,0,4,1.0,5,57.532,Medium,10.542
90,17,0,1,370,1,3603.14,3.0,2,0.0,6,0.53,10,0,489,1,8,0.2146,3.38,70.28,1,1,4.0,5,53.012,Medium,12.347000000000001
91,43,14,0,698,2,42047.26,0.0,1,0.0,7,0.81,17,0,588,1,1,0.371,4.73,133.72,0,3,3.0,6,54.024,Medium,11.319
92,34,4,1,157,2,689.09,0.0,1,0.0,12,0.6,1,1,71,1,4,0.0656,0.51,470.54,0,3,2.0,5,49.44,Medium,12.340000000000002
93,6,9,1,639,0,12717.78,0.0,1,0.0,5,0.79,4,0,118,1,4,0.4049,3.77,489.58,0,2,4.0,6,55.816,Medium,10.921
94,25,16,0,351,1,37174.75,3.0,0,0.0,5,0.56,3,0,688,1,5,0.1341,3.46,382.89,1,1,10.0,11,53.924,Medium,12.144000000000002
95,25,17,1,485,1,16155.37,0.0,1,0.0,2,0.67,19,0,558,1,7,0.132,3.8,163.49,0,3,5.0,8,58.468,Medium,10.333
96,1,23,2,72,2,5543.67,1.0,4,0.0,2,0.89,4,0,128,1,8,0.2993,2.1,167.23,1,1,7.0,8,57.956,Medium,10.711000000000002
97,12,1,3,710,0,18331.58,0.0,1,0.0,12,0.72,7,1,607,1,6,0.0444,4.19,340.61,0,3,7.0,10,49.488,Medium,12.328000000000001
98,40,3,3,369,1,13884.47,2.0,3,0.0,1,0.81,17,0,391,1,1,0.0229,0.7,102.92,1,1,4.0,5,58.224,Medium,10.919
99,13,23,0,570,3,42214.24,0.0,1,0.0,15,0.82,16,0,401,1,7,0.1379,3.9,476.74,0,3,8.0,11,46.828,Medium,12.918000000000001
100,22,15,4,336,2,16010.72,0.0,1,0.0,5,0.92,12,0,986,1,3,0.2737,1.7,151.17,0,4,6.0,10,55.867999999999995,Medium,10.908000000000001
101,40,8,0,778,1,39552.16,1.0,4,0.0,7,0.66,5,1,61,1,6,0.4547,2.65,499.84,1,1,5.0,6,53.364,Medium,11.734000000000002
102,24,15,4,745,3,44647.67,3.0,0,0.0,7,0.84,0,0,612,1,8,0.4248,4.2,273.08,1,1,6.0,7,52.236,Medium,12.516000000000002
103,36,8,3,150,1,21973.96,7.0,3,0.0,5,0.98,4,0,298,1,7,0.2503,1.72,397.14,1,3,11.0,14,51.692,Medium,13.702000000000002
104,38,1,0,999,3,45542.19,7.5,2,0.0,13,0.87,16,1,346,1,10,0.0282,1.33,50.98,1,1,16.0,17,42.647999999999996,Medium,16.512999999999998
105,44,18,2,224,2,19177.24,5.0,4,0.0,2,0.74,11,0,819,1,6,0.2723,3.57,449.94,1,2,6.0,8,55.495999999999995,Medium,12.326000000000002
106,20,14,1,444,1,48221.88,3.0,2,0.0,9,0.82,11,0,213,1,9,0.3553,2.9,171.5,1,3,5.0,8,50.428,Medium,12.918000000000001
107,34,8,4,900,1,4919.83,1.0,3,0.0,2,0.87,10,0,889,1,9,0.1762,2.81,350.57,1,3,6.0,9,57.94799999999999,Medium,10.713000000000001
108,7,6,1,961,0,34507.45,0.0,1,0.0,11,0.81,16,0,247,1,1,0.0644,1.66,412.86,0,2,2.0,4,50.424,Medium,12.119
109,27,7,1,732,2,24943.8,0.0,1,0.0,16,0.51,0,0,391,1,1,0.1465,0.66,123.87,0,4,6.0,10,45.804,Medium,13.149000000000001
110,31,18,0,327,3,19688.62,0.0,1,0.0,4,0.6,18,0,676,1,1,0.3881,2.35,249.13,0,3,1.0,4,56.64,Medium,10.740000000000002
111,3,6,1,41,1,31819.24,0.0,1,0.0,19,0.91,1,1,761,1,8,0.1821,0.98,272.23,0,2,5.0,7,43.264,Medium,13.709000000000001
112,25,29,2,679,1,35340.93,0.0,1,0.0,8,0.64,3,0,145,1,10,0.4079,4.58,190.45,0,3,3.0,6,53.056,Medium,11.536
113,37,0,1,294,3,715.98,1.0,4,0.0,19,0.87,18,1,416,1,7,0.1666,0.69,266.79,1,2,3.0,5,42.647999999999996,Medium,14.113
114,18,20,0,314,2,8764.18,0.0,1,0.0,6,0.69,19,0,517,1,3,0.0901,2.44,192.9,0,1,3.0,4,54.876,Medium,11.131
115,26,14,2,438,0,35795.78,0.0,1,0.0,3,0.76,14,1,371,1,2,0.2236,0.74,212.34,0,2,4.0,6,57.604,Medium,10.524
116,25,18,3,486,0,33486.08,7.5,2,0.0,12,0.53,13,1,390,1,4,0.2316,0.93,351.2,1,1,16.5,20,43.412,Medium,16.347
117,37,4,1,295,1,48319.35,1.0,4,0.0,12,0.59,0,0,890,1,3,0.0179,3.46,334.67,1,3,4.0,7,48.836,Medium,12.741000000000001
118,46,9,0,153,3,38171.37,2.0,2,0.0,9,0.98,12,0,585,1,7,0.0674,3.41,154.52,1,4,9.0,13,51.092,Medium,12.502
119,0,4,3,433,1,47563.25,0.0,1,0.0,17,0.95,11,0,644,1,10,0.1006,0.65,453.87,0,1,6.0,7,45.08,Medium,13.305000000000001
120,31,3,3,28,3,35275.75,7.5,4,0.0,16,0.83,15,1,263,1,8,0.0657,0.51,438.25,1,2,15.0,17,39.932,Low,16.590875
121,5,22,4,27,0,15253.58,0.0,1,0.0,19,0.73,11,1,486,1,6,0.1773,0.85,279.09,0,1,1.0,2,43.192,Medium,13.727
122,32,4,2,778,2,5715.56,2.0,2,0.0,19,0.84,8,0,123,1,3,0.4827,3.93,244.96,1,2,5.0,7,42.035999999999994,Medium,14.516000000000002
123,48,2,1,599,3,39200.28,0.0,1,0.0,12,0.81,7,0,29,1,6,0.2595,3.13,219.59,0,3,2.0,5,49.524,Medium,12.319
124,17,28,0,380,0,32385.39,0.0,1,0.0,16,0.78,11,0,537,1,2,0.3175,0.67,368.27,0,1,3.0,4,45.912,Medium,13.122
125,39,14,4,184,1,2885.21,7.5,4,0.0,3,0.53,15,1,154,1,7,0.1846,2.7,352.25,1,3,13.0,16,51.512,Medium,14.547
126,0,7,2,203,3,18322.5,2.0,3,0.0,0,0.82,11,0,217,1,10,0.1685,3.7,138.28,1,4,10.0,14,59.128,Medium,10.718000000000002
127,0,22,4,511,2,47861.59,1.0,3,0.0,0,0.88,9,0,540,1,7,0.0213,4.41,352.16,1,2,8.0,10,59.751999999999995,Medium,10.312000000000001
128,16,4,2,997,1,25269.86,0.0,1,0.0,14,1.0,1,0,385,1,4,0.2552,4.7,163.59,0,2,3.0,5,47.8,Medium,12.700000000000001
129,11,8,2,122,1,21920.09,0.0,1,0.0,12,0.51,5,0,513,1,8,0.247,1.97,58.35,0,1,1.0,2,49.403999999999996,Medium,12.349
130,35,9,1,123,0,23156.13,0.0,1,0.0,16,0.87,9,1,913,1,4,0.0873,1.11,364.64,0,1,5.0,6,45.948,Medium,13.113
131,37,25,2,231,3,10839.69,2.0,2,0.0,7,0.79,10,0,175,1,7,0.3845,1.57,340.16,1,2,8.0,10,52.815999999999995,Medium,12.120999999999999
132,25,15,4,687,1,18751.0,3.0,3,0.0,17,0.72,12,0,559,1,4,0.2514,3.99,234.86,1,2,5.0,7,43.188,Medium,14.528000000000002
133,14,7,2,956,2,18805.76,0.0,1,0.0,12,0.56,10,0,190,1,5,0.1761,4.87,286.56,0,1,1.0,2,49.424,Medium,12.344000000000001
134,26,28,1,840,3,3091.57,0.0,1,0.0,13,0.7,6,0,870,1,7,0.082,2.6,476.23,0,4,5.0,9,48.58,Medium,12.53
135,27,0,1,653,2,38494.6,0.0,1,0.0,7,0.68,12,0,626,1,10,0.2806,1.87,317.84,0,2,1.0,3,53.971999999999994,Medium,11.332
136,12,14,4,906,1,21116.97,3.0,4,0.0,7,0.65,2,1,621,1,3,0.3789,2.43,346.05,1,2,6.0,8,52.16,Medium,12.535
137,32,23,3,273,2,41197.9,3.0,3,0.0,14,0.87,14,1,611,1,10,0.1482,1.87,78.76,1,4,6.0,10,45.94799999999999,Medium,13.913
138,39,12,3,934,0,42592.23,0.0,1,0.0,12,0.85,6,0,936,1,5,0.1172,1.65,124.7,0,4,4.0,8,49.54,Medium,12.315000000000001
139,43,10,2,64,2,10993.71,2.0,3,0.0,6,0.79,4,0,821,1,3,0.2657,3.17,185.43,1,3,8.0,11,53.715999999999994,Medium,11.921
140,28,22,0,880,3,33039.0,0.0,1,0.0,4,0.97,1,1,453,1,5,0.0861,0.57,292.72,0,2,4.0,6,56.788,Medium,10.703000000000001
141,13,14,2,652,2,23877.95,0.0,1,0.0,16,0.67,17,0,341,1,3,0.3366,1.67,399.47,0,2,5.0,7,45.868,Medium,13.133
142,14,15,4,809,2,44067.76,0.0,1,0.0,15,0.62,15,0,512,1,10,0.3066,3.48,194.56,0,2,7.0,9,46.748000000000005,Medium,12.938
143,6,27,4,787,0,11179.16,1.0,2,0.0,1,0.83,14,1,922,1,7,0.0527,0.64,210.37,1,4,5.0,9,58.831999999999994,Medium,10.517000000000001
144,26,16,4,467,2,34051.75,2.0,2,0.0,17,0.6,4,1,88,1,1,0.0279,0.87,165.27,1,3,10.0,13,43.739999999999995,Medium,14.14
145,27,10,4,988,2,30583.73,0.0,1,0.0,16,0.66,5,1,594,1,9,0.3139,1.82,164.57,0,4,2.0,6,45.864,Medium,13.134
146,41,28,4,887,1,15117.42,5.0,4,0.0,6,0.61,3,1,944,1,9,0.1542,4.45,476.99,1,4,11.0,15,51.843999999999994,Medium,13.139
147,0,2,1,171,1,7261.74,1.0,2,0.0,12,0.53,10,1,947,1,5,0.0524,3.94,335.96,1,4,2.0,6,48.812,Medium,12.747000000000002
148,21,28,3,389,3,32756.17,1.0,2,0.0,17,0.91,14,0,697,1,9,0.3821,0.6,120.16,1,1,3.0,4,44.464,Medium,13.709000000000001
149,32,2,4,96,1,37060.57,0.0,1,0.0,13,0.63,4,0,405,1,10,0.1639,2.76,375.01,0,1,9.0,10,48.552,Medium,12.537
150,21,17,0,64,1,16123.55,7.5,3,0.0,17,0.74,3,0,617,1,6,0.2352,1.74,374.91,1,2,16.5,20,38.995999999999995,Low,16.590875
151,15,23,0,485,1,32419.21,0.0,1,0.0,12,0.52,15,0,866,1,5,0.126,3.42,349.91,0,2,5.0,7,49.408,Medium,12.348
152,40,17,0,809,1,20058.98,0.0,1,0.0,10,0.85,3,0,112,1,3,0.3174,3.75,110.62,0,3,7.0,10,51.34,Medium,11.915000000000001
153,10,2,0,187,0,35803.74,1.0,0,0.0,15,0.67,0,0,411,1,8,0.1577,4.38,233.6,1,2,10.0,12,46.168,Medium,13.333
154,11,4,1,400,1,10361.16,3.0,2,0.0,16,0.87,8,0,984,1,4,0.4843,2.64,98.04,1,3,9.0,12,44.147999999999996,Medium,14.313
155,14,13,0,358,0,44565.64,1.0,2,0.0,7,0.71,10,0,233,1,10,0.3544,4.98,417.48,1,2,4.0,6,53.384,Medium,11.729000000000003
156,6,26,4,17,0,14726.78,1.0,3,0.0,18,0.6,4,0,527,1,3,0.077,4.91,344.83,1,1,7.0,8,43.44,Medium,13.940000000000001
157,10,5,2,842,1,18705.41,0.0,1,0.0,19,0.76,13,0,643,1,6,0.2142,4.47,278.24,0,2,6.0,8,43.204,Medium,13.724
158,24,13,0,322,2,3375.55,5.0,0,0.0,14,0.57,7,0,245,1,8,0.1989,3.09,204.36,1,3,13.0,16,44.628,Medium,14.743000000000002
159,31,8,1,768,0,6019.85,2.0,2,0.0,8,0.72,0,1,436,1,9,0.2718,2.29,132.91,1,3,5.0,8,51.888,Medium,12.328000000000001
160,3,21,1,844,2,26035.16,3.0,3,0.0,19,0.66,2,0,125,1,6,0.4225,2.14,97.9,1,3,7.0,10,41.364,Medium,14.934000000000001
161,23,7,0,993,2,13745.84,1.0,3,0.0,9,0.96,0,0,172,1,5,0.2959,0.55,486.16,1,3,6.0,9,51.684,Medium,12.104000000000003
162,46,26,2,992,1,41856.27,2.0,4,0.0,11,0.53,2,1,235,1,2,0.0402,1.62,139.84,1,1,3.0,4,49.111999999999995,Medium,12.947000000000001
163,44,24,0,452,3,1227.32,7.0,2,0.0,19,0.85,7,0,239,1,2,0.3312,3.73,76.94,1,3,16.0,19,39.04,Low,16.515
164,36,24,1,776,1,19265.16,1.0,2,0.0,0,0.59,1,0,191,1,9,0.014,3.22,482.75,1,2,5.0,7,59.635999999999996,Medium,10.341000000000001
165,38,22,3,337,3,17198.6,0.0,1,0.0,19,0.66,15,0,258,1,2,0.3922,4.62,297.03,0,1,8.0,9,43.164,Medium,13.734000000000002
